Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782221840,50,,Aggregated,0.900000,0.100000,25000,28000,34000,35000,64000,71000,77000,79000,79000,79000,79000,119,4,25000.0,25927.84283444835,756.6996999667026,78702.72860000841,14301.33613445378
1782221841,50,,Aggregated,0.900000,0.100000,26000,29000,34000,37000,64000,71000,77000,79000,79000,79000,79000,120,4,25000.0,26025.338284161506,756.6996999667026,78702.72860000841,14183.15
1782221842,50,,Aggregated,0.900000,0.100000,26000,29000,34000,37000,64000,71000,77000,79000,79000,79000,79000,120,4,25000.0,26025.338284161506,756.6996999667026,78702.72860000841,14183.15
1782221843,50,,Aggregated,0.900000,0.100000,26000,29000,34000,37000,64000,71000,77000,79000,79000,79000,79000,120,4,25000.0,26025.338284161506,756.6996999667026,78702.72860000841,14183.15
1782221844,50,,Aggregated,0.900000,0.100000,26000,29000,34000,37000,64000,71000,77000,79000,79000,79000,79000,120,4,25000.0,26025.338284161506,756.6996999667026,78702.72860000841,14183.15
1782221845,50,,Aggregated,0.900000,0.100000,26000,29000,34000,37000,64000,71000,77000,79000,79000,79000,79000,120,4,25000.0,26025.338284161506,756.6996999667026,78702.72860000841,14183.15
1782221846,50,,Aggregated,0.600000,0.000000,26000,29000,34000,37000,64000,71000,79000,79000,85000,85000,85000,121,4,26000.0,26512.321408259326,756.6996999667026,84950.29629999772,14066.917355371901
1782221847,50,,Aggregated,0.600000,0.000000,26000,29000,34000,37000,64000,71000,79000,79000,85000,85000,85000,121,4,26000.0,26512.321408259326,756.6996999667026,84950.29629999772,14066.917355371901
1782221848,50,,Aggregated,0.600000,0.000000,26000,29000,34000,37000,64000,71000,79000,79000,85000,85000,85000,121,4,26000.0,26512.321408259326,756.6996999667026,84950.29629999772,14066.917355371901
1782221849,50,,Aggregated,0.600000,0.000000,26000,29000,34000,37000,64000,71000,79000,79000,85000,85000,85000,121,4,26000.0,26512.321408259326,756.6996999667026,84950.29629999772,14066.917355371901
1782221850,50,,Aggregated,0.600000,0.000000,26000,29000,34000,37000,64000,71000,79000,79000,85000,85000,85000,121,4,26000.0,26512.321408259326,756.6996999667026,84950.29629999772,14066.917355371901
1782221851,50,,Aggregated,0.600000,0.000000,26000,30000,35000,40000,66000,73000,85000,91000,104000,104000,104000,124,5,26000.0,27462.148354027322,756.6996999667026,103994.41129999468,13727.556451612903
1782221852,50,,Aggregated,0.600000,0.000000,26000,30000,35000,40000,66000,73000,85000,91000,104000,104000,104000,124,5,26000.0,27462.148354027322,756.6996999667026,103994.41129999468,13727.556451612903
1782221853,50,,Aggregated,0.500000,0.100000,26000,31000,35000,41000,69000,79000,91000,94000,104000,104000,104000,127,5,26000.0,28500.529387396557,756.6996999667026,103994.41129999468,13405.16535433071
1782221854,50,,Aggregated,0.400000,0.100000,26000,33000,37000,45000,71000,79000,94000,95000,104000,104000,104000,130,5,26000.0,29588.144006149378,756.6996999667026,103994.41129999468,13098.107692307693
1782221855,50,,Aggregated,0.400000,0.100000,26000,33000,37000,45000,71000,79000,94000,95000,104000,104000,104000,130,5,26000.0,29588.144006149378,756.6996999667026,103994.41129999468,13098.107692307693
1782221856,50,,Aggregated,0.400000,0.100000,26000,33000,37000,45000,71000,79000,94000,95000,104000,104000,104000,130,5,26000.0,29588.144006149378,756.6996999667026,103994.41129999468,13098.107692307693
1782221857,50,,Aggregated,1.000000,0.100000,26000,33000,40000,47000,72000,85000,94000,95000,104000,104000,104000,134,5,26000.0,30716.305711935187,756.6996999667026,103994.41129999468,12709.91791044776
1782221858,50,,Aggregated,1.000000,0.100000,26000,34000,41000,52000,73000,92000,95000,99000,104000,104000,104000,136,5,26000.0,31690.447805877364,756.6996999667026,103994.41129999468,12524.323529411764
1782221859,50,,Aggregated,1.000000,0.100000,26000,34000,41000,52000,73000,92000,95000,99000,104000,104000,104000,136,5,26000.0,31690.447805877364,756.6996999667026,103994.41129999468,12524.323529411764
1782221860,50,,Aggregated,1.000000,0.100000,26000,34000,41000,52000,73000,92000,95000,99000,104000,104000,104000,136,5,26000.0,31690.447805877364,756.6996999667026,103994.41129999468,12524.323529411764
1782221861,50,,Aggregated,1.000000,0.100000,26000,34000,41000,52000,73000,92000,95000,99000,104000,104000,104000,136,5,26000.0,31690.447805877364,756.6996999667026,103994.41129999468,12524.323529411764
1782221862,50,,Aggregated,1.500000,0.100000,26000,34000,41000,53000,77000,94000,99000,102000,104000,104000,104000,137,5,26000.0,32206.84906568873,756.6996999667026,103994.41129999468,12433.34306569343
1782221863,50,,Aggregated,1.500000,0.100000,26000,34000,41000,53000,77000,94000,99000,102000,104000,104000,104000,137,5,26000.0,32206.84906568873,756.6996999667026,103994.41129999468,12433.34306569343
1782221864,50,,Aggregated,1.200000,0.000000,27000,34000,41000,53000,77000,94000,99000,102000,104000,104000,104000,138,5,26000.0,32226.445572458775,756.6996999667026,103994.41129999468,12344.108695652174
1782221865,50,,Aggregated,1.200000,0.000000,27000,34000,41000,53000,77000,94000,99000,102000,104000,104000,104000,138,5,26000.0,32226.445572458775,756.6996999667026,103994.41129999468,12344.108695652174
1782221866,50,,Aggregated,1.200000,0.000000,27000,34000,41000,53000,77000,94000,99000,102000,104000,104000,104000,138,5,26000.0,32226.445572458775,756.6996999667026,103994.41129999468,12344.108695652174
1782221867,50,,Aggregated,0.800000,0.000000,27000,34000,41000,53000,77000,94000,99000,102000,104000,104000,104000,140,5,27000.0,32209.37196928093,756.6996999667026,103994.41129999468,12169.471428571429
1782221868,50,,Aggregated,0.800000,0.000000,27000,34000,41000,53000,77000,94000,99000,102000,104000,104000,104000,140,5,27000.0,32209.37196928093,756.6996999667026,103994.41129999468,12169.471428571429
1782221869,50,,Aggregated,0.800000,0.000000,27000,34000,41000,53000,77000,94000,99000,102000,104000,104000,104000,140,5,27000.0,32209.37196928093,756.6996999667026,103994.41129999468,12169.471428571429
